"block","metric","expected","tolerance"
"general","n_units",899,0
"general","total_area_ha",112023.0933,0.01
"M0","n_aporte_conservada",308,0
"M0","n_aporte_degradada",128,0
"M0","n_transferencia_conservada",180,0
"M0","n_transferencia_degradada",130,0
"M0","n_receptora_conservada",77,0
"M0","n_receptora_degradada",76,0
"M0","dominant_probability_mean",0.3733055,1e-07
"M0","classification_margin_median",0.1680236,1e-07
"M0","normalized_entropy_mean",0.8999689,1e-07
"sensitivity","M1_MAP_changes",334,0
"sensitivity","M1_median_JS",0.16127086,1e-08
"sensitivity","M1_median_delta_H",0.01922256,1e-08
"sensitivity","M2_MAP_changes",0,0
"sensitivity","M2_median_JS",0.05965768,1e-08
"sensitivity","M2_median_delta_H",-0.003995305,1e-08
"sensitivity","M3_MAP_changes",497,0
"sensitivity","M3_median_JS",0.17447282,1e-08
"sensitivity","M3_median_delta_H",0.055746171,1e-08
"sensitivity","diagnostic_no_cover_MAP_changes",334,0
"sensitivity","diagnostic_no_cover_median_JS",0.1567431471,1e-08
"sensitivity","diagnostic_no_cover_median_delta_H",0.01918257,1e-08
"sensitivity","diagnostic_no_soil_slope_MAP_changes",0,0
"sensitivity","diagnostic_no_soil_slope_median_JS",0.0005466384,1e-08
"sensitivity","diagnostic_no_soil_slope_median_delta_H",8.780673e-05,1e-08
"TM","runoff_MAP_changes",284,0
"TM","UREH_MAP_changes",0,0
"TM","runoff_median_JS",0.4047545,1e-07
"TM","UREH_median_JS",0.0377261,1e-07
"TM","runoff_median_delta_H",-0.54709117,1e-08
"TM","UREH_median_delta_H",0.01369993,1e-08
"clustering","k_C1",12,0
"clustering","k_C2",12,0
"clustering","silhouette_C1",0.5836959,1e-07
"clustering","silhouette_C2",0.5250935,1e-07
"clustering","ARI_C1_C2",0.9652298,1e-07
"clustering","n_reassigned",23,0
"clustering","n_stable",876,0
"spatial","m0_features",899,0
"spatial","sensitivity_features",4495,0
"spatial","TM_features",899,0
"spatial","clustering_features",899,0
"spatial","epsg",32613,0
