"block","metric","expected","actual","absolute_difference","tolerance","status"
"general","n_units",899,899,0,0,"PASS"
"general","total_area_ha",112023.0933,112023.093271837,2.81632237602025e-05,0.01,"PASS"
"M0","n_aporte_conservada",308,308,0,0,"PASS"
"M0","n_aporte_degradada",128,128,0,0,"PASS"
"M0","n_transferencia_conservada",180,180,0,0,"PASS"
"M0","n_transferencia_degradada",130,130,0,0,"PASS"
"M0","n_receptora_conservada",77,77,0,0,"PASS"
"M0","n_receptora_degradada",76,76,0,0,"PASS"
"M0","dominant_probability_mean",0.3733055,0.373305475698929,2.43010706557634e-08,1e-07,"PASS"
"M0","classification_margin_median",0.1680236,0.168023569023569,3.09764310035821e-08,1e-07,"PASS"
"M0","normalized_entropy_mean",0.8999689,0.899968904173488,4.17348811065921e-09,1e-07,"PASS"
"sensitivity","M1_MAP_changes",334,334,0,0,"PASS"
"sensitivity","M1_median_JS",0.16127086,0.161270856983431,3.01656899459601e-09,1e-08,"PASS"
"sensitivity","M1_median_delta_H",0.01922256,0.019222560294752,2.94752000584708e-10,1e-08,"PASS"
"sensitivity","M2_MAP_changes",0,0,0,0,"PASS"
"sensitivity","M2_median_JS",0.05965768,0.0596576827939298,2.79392980279125e-09,1e-08,"PASS"
"sensitivity","M2_median_delta_H",-0.003995305,-0.003995304797757,2.02243000124724e-10,1e-08,"PASS"
"sensitivity","M3_MAP_changes",497,497,0,0,"PASS"
"sensitivity","M3_median_JS",0.17447282,0.174472819158508,8.41491987202403e-10,1e-08,"PASS"
"sensitivity","M3_median_delta_H",0.055746171,0.055746171368073,3.68073002632308e-10,1e-08,"PASS"
"sensitivity","diagnostic_no_cover_MAP_changes",334,334,0,0,"PASS"
"sensitivity","diagnostic_no_cover_median_JS",0.1567431471,0.156743147073798,2.62020127816953e-11,1e-08,"PASS"
"sensitivity","diagnostic_no_cover_median_delta_H",0.01918257,0.019182571905796,1.90579600017893e-09,1e-08,"PASS"
"sensitivity","diagnostic_no_soil_slope_MAP_changes",0,0,0,0,"PASS"
"sensitivity","diagnostic_no_soil_slope_median_JS",0.0005466384,0.000546638399312106,6.8789407763753e-13,1e-08,"PASS"
"sensitivity","diagnostic_no_soil_slope_median_delta_H",8.780673e-05,8.78067261269599e-05,3.87304009935412e-12,1e-08,"PASS"
"TM","runoff_MAP_changes",284,284,0,0,"PASS"
"TM","UREH_MAP_changes",0,0,0,0,"PASS"
"TM","runoff_median_JS",0.4047545,0.404754508247882,8.24788198849902e-09,1e-07,"PASS"
"TM","UREH_median_JS",0.0377261,0.0377261016241126,1.62411260135054e-09,1e-07,"PASS"
"TM","runoff_median_delta_H",-0.54709117,-0.547091174111978,4.11197809135899e-09,1e-08,"PASS"
"TM","UREH_median_delta_H",0.01369993,0.013699933241618,3.24161800006884e-09,1e-08,"PASS"
"clustering","k_C1",12,12,0,0,"PASS"
"clustering","k_C2",12,12,0,0,"PASS"
"clustering","silhouette_C1",0.5836959,0.583695914297445,1.42974451167177e-08,1e-07,"PASS"
"clustering","silhouette_C2",0.5250935,0.525093531100211,3.11002111841319e-08,1e-07,"PASS"
"clustering","ARI_C1_C2",0.9652298,0.965229839678599,3.96785990730564e-08,1e-07,"PASS"
"clustering","n_reassigned",23,23,0,0,"PASS"
"clustering","n_stable",876,876,0,0,"PASS"
"spatial","m0_features",899,899,0,0,"PASS"
"spatial","sensitivity_features",4495,4495,0,0,"PASS"
"spatial","TM_features",899,899,0,0,"PASS"
"spatial","clustering_features",899,899,0,0,"PASS"
"spatial","epsg",32613,32613,0,0,"PASS"
