"suelo","cobertura","pendiente","precipitacion","inf_baja","inf_media","inf_alta"
"suelo_infiltracion_alta","forestal_conservada","pend_baja","prec_baja",0.15,0.25,0.6
"suelo_infiltracion_alta","forestal_conservada","pend_baja","prec_media",0.1,0.2,0.7
"suelo_infiltracion_alta","forestal_conservada","pend_baja","prec_alta",0.1,0.2,0.7
"suelo_infiltracion_alta","forestal_conservada","pend_media","prec_baja",0.2,0.3,0.5
"suelo_infiltracion_alta","forestal_conservada","pend_media","prec_media",0.15,0.25,0.6
"suelo_infiltracion_alta","forestal_conservada","pend_media","prec_alta",0.1,0.2,0.7
"suelo_infiltracion_alta","forestal_conservada","pend_alta","prec_baja",0.2,0.3,0.5
"suelo_infiltracion_alta","forestal_conservada","pend_alta","prec_media",0.2,0.3,0.5
"suelo_infiltracion_alta","forestal_conservada","pend_alta","prec_alta",0.15,0.25,0.6
"suelo_infiltracion_alta","forestal_secundaria","pend_baja","prec_baja",0.15,0.25,0.6
"suelo_infiltracion_alta","forestal_secundaria","pend_baja","prec_media",0.1,0.2,0.7
"suelo_infiltracion_alta","forestal_secundaria","pend_baja","prec_alta",0.1,0.2,0.7
"suelo_infiltracion_alta","forestal_secundaria","pend_media","prec_baja",0.2,0.3,0.5
"suelo_infiltracion_alta","forestal_secundaria","pend_media","prec_media",0.15,0.25,0.6
"suelo_infiltracion_alta","forestal_secundaria","pend_media","prec_alta",0.1,0.2,0.7
"suelo_infiltracion_alta","forestal_secundaria","pend_alta","prec_baja",0.2,0.3,0.5
"suelo_infiltracion_alta","forestal_secundaria","pend_alta","prec_media",0.2,0.3,0.5
"suelo_infiltracion_alta","forestal_secundaria","pend_alta","prec_alta",0.15,0.25,0.6
"suelo_infiltracion_alta","hidrofila_humedal","pend_baja","prec_baja",0.15,0.25,0.6
"suelo_infiltracion_alta","hidrofila_humedal","pend_baja","prec_media",0.1,0.2,0.7
"suelo_infiltracion_alta","hidrofila_humedal","pend_baja","prec_alta",0.1,0.2,0.7
"suelo_infiltracion_alta","hidrofila_humedal","pend_media","prec_baja",0.2,0.3,0.5
"suelo_infiltracion_alta","hidrofila_humedal","pend_media","prec_media",0.15,0.25,0.6
"suelo_infiltracion_alta","hidrofila_humedal","pend_media","prec_alta",0.1,0.2,0.7
"suelo_infiltracion_alta","hidrofila_humedal","pend_alta","prec_baja",0.2,0.3,0.5
"suelo_infiltracion_alta","hidrofila_humedal","pend_alta","prec_media",0.2,0.3,0.5
"suelo_infiltracion_alta","hidrofila_humedal","pend_alta","prec_alta",0.15,0.25,0.6
"suelo_infiltracion_alta","agropecuaria","pend_baja","prec_baja",0.2,0.5,0.3
"suelo_infiltracion_alta","agropecuaria","pend_baja","prec_media",0.1,0.7,0.2
"suelo_infiltracion_alta","agropecuaria","pend_baja","prec_alta",0.15,0.6,0.25
"suelo_infiltracion_alta","agropecuaria","pend_media","prec_baja",0.15,0.6,0.25
"suelo_infiltracion_alta","agropecuaria","pend_media","prec_media",0.1,0.7,0.2
"suelo_infiltracion_alta","agropecuaria","pend_media","prec_alta",0.1,0.7,0.2
"suelo_infiltracion_alta","agropecuaria","pend_alta","prec_baja",0.2,0.5,0.3
"suelo_infiltracion_alta","agropecuaria","pend_alta","prec_media",0.15,0.6,0.25
"suelo_infiltracion_alta","agropecuaria","pend_alta","prec_alta",0.2,0.5,0.3
"suelo_infiltracion_alta","antropica","pend_baja","prec_baja",0.2,0.5,0.3
"suelo_infiltracion_alta","antropica","pend_baja","prec_media",0.1,0.7,0.2
"suelo_infiltracion_alta","antropica","pend_baja","prec_alta",0.15,0.6,0.25
"suelo_infiltracion_alta","antropica","pend_media","prec_baja",0.15,0.6,0.25
