"node","state","state_order"
"suelo","suelo_infiltracion_alta",1
"suelo","suelo_infiltracion_media",2
"suelo","suelo_infiltracion_baja",3
"suelo","suelo_salino",4
"cobertura","forestal_conservada",1
"cobertura","forestal_secundaria",2
"cobertura","hidrofila_humedal",3
"cobertura","agropecuaria",4
"cobertura","antropica",5
"pendiente","pend_baja",1
"pendiente","pend_media",2
"pendiente","pend_alta",3
"precipitacion","prec_baja",1
"precipitacion","prec_media",2
"precipitacion","prec_alta",3
"aporte","aporte_muy_bajo",1
"aporte","aporte_bajo",2
"aporte","aporte_medio",3
"aporte","aporte_alto",4
"infiltracion","inf_baja",1
"infiltracion","inf_media",2
"infiltracion","inf_alta",3
"escorrentia","esc_baja",1
"escorrentia","esc_media",2
"escorrentia","esc_alta",3
"funcion_hidrologica","aporte",1
"funcion_hidrologica","transferencia",2
"funcion_hidrologica","recepcion",3
"ureh","aporte_conservada",1
"ureh","aporte_degradada",2
"ureh","transferencia_conservada",3
"ureh","transferencia_degradada",4
"ureh","receptora_conservada",5
"ureh","receptora_degradada",6
