"Función hidrológica","Cobertura","UREH dominante","Condición funcional","Soporte causal","P(Aporte conservada)","P(Aporte degradada)","P(Transferencia conservada)","P(Transferencia degradada)","P(Receptora conservada)","P(Receptora degradada)","Suma","Regla aplicada"
"aporte","forestal_conservada","aporte_conservada","Conservada","Fuerte",0.7,0.22,0.02,0.02,0.02,0.02,1,"Función aporte define el tipo; cobertura forestal conservada define condición conservada (fuerte)."
"aporte","forestal_secundaria","aporte_conservada","Conservada","Moderado",0.6,0.32,0.02,0.02,0.02,0.02,1,"Función aporte define el tipo; cobertura forestal secundaria define condición conservada (moderado)."
"aporte","hidrofila_humedal","aporte_conservada","Conservada","Moderado",0.6,0.32,0.02,0.02,0.02,0.02,1,"Función aporte define el tipo; cobertura hidrófila-humedal define condición conservada (moderado)."
"aporte","agropecuaria","aporte_degradada","Degradada","Moderado",0.32,0.6,0.02,0.02,0.02,0.02,1,"Función aporte define el tipo; cobertura agropecuaria define condición degradada (moderado)."
"aporte","antropica","aporte_degradada","Degradada","Fuerte",0.22,0.7,0.02,0.02,0.02,0.02,1,"Función aporte define el tipo; cobertura antrópica define condición degradada (fuerte)."
"transferencia","forestal_conservada","transferencia_conservada","Conservada","Fuerte",0.02,0.02,0.7,0.22,0.02,0.02,1,"Función transferencia define el tipo; cobertura forestal conservada define condición conservada (fuerte)."
"transferencia","forestal_secundaria","transferencia_conservada","Conservada","Moderado",0.02,0.02,0.6,0.32,0.02,0.02,1,"Función transferencia define el tipo; cobertura forestal secundaria define condición conservada (moderado)."
"transferencia","hidrofila_humedal","transferencia_conservada","Conservada","Moderado",0.02,0.02,0.6,0.32,0.02,0.02,1,"Función transferencia define el tipo; cobertura hidrófila-humedal define condición conservada (moderado)."
"transferencia","agropecuaria","transferencia_degradada","Degradada","Moderado",0.02,0.02,0.32,0.6,0.02,0.02,1,"Función transferencia define el tipo; cobertura agropecuaria define condición degradada (moderado)."
"transferencia","antropica","transferencia_degradada","Degradada","Fuerte",0.02,0.02,0.22,0.7,0.02,0.02,1,"Función transferencia define el tipo; cobertura antrópica define condición degradada (fuerte)."
"recepcion","forestal_conservada","receptora_conservada","Conservada","Fuerte",0.02,0.02,0.02,0.02,0.7,0.22,1,"Función recepción define el tipo; cobertura forestal conservada define condición conservada (fuerte)."
"recepcion","forestal_secundaria","receptora_conservada","Conservada","Moderado",0.02,0.02,0.02,0.02,0.6,0.32,1,"Función recepción define el tipo; cobertura forestal secundaria define condición conservada (moderado)."
"recepcion","hidrofila_humedal","receptora_conservada","Conservada","Fuerte",0.02,0.02,0.02,0.02,0.7,0.22,1,"Función recepción define el tipo; cobertura hidrófila-humedal define condición conservada (fuerte)."
"recepcion","agropecuaria","receptora_degradada","Degradada","Moderado",0.02,0.02,0.02,0.02,0.32,0.6,1,"Función recepción define el tipo; cobertura agropecuaria define condición degradada (moderado)."
"recepcion","antropica","receptora_degradada","Degradada","Fuerte",0.02,0.02,0.02,0.02,0.22,0.7,1,"Función recepción define el tipo; cobertura antrópica define condición degradada (fuerte)."
