"Suelo","Cobertura","Estado dominante","Tendencia funcional"
"suelo_infiltracion_alta","forestal_conservada","alta","Neutral"
"suelo_infiltracion_alta","forestal_secundaria","alta","Neutral"
"suelo_infiltracion_alta","hidrofila_humedal","alta","Neutral"
"suelo_infiltracion_alta","agropecuaria","media","alta"
"suelo_infiltracion_alta","antropica","media","alta"
"suelo_infiltracion_media","forestal_conservada","alta","Neutral"
"suelo_infiltracion_media","forestal_secundaria","media","alta"
"suelo_infiltracion_media","hidrofila_humedal","media","Neutral"
"suelo_infiltracion_media","agropecuaria","media","baja"
"suelo_infiltracion_media","antropica","baja","Neutral"
"suelo_infiltracion_baja","forestal_conservada","media","baja"
"suelo_infiltracion_baja","forestal_secundaria","media","baja"
"suelo_infiltracion_baja","hidrofila_humedal","baja","media"
"suelo_infiltracion_baja","agropecuaria","baja","Neutral"
"suelo_infiltracion_baja","antropica","baja","Neutral"
"suelo_salino","forestal_conservada","baja","Neutral"
"suelo_salino","forestal_secundaria","baja","Neutral"
"suelo_salino","hidrofila_humedal","baja","Neutral"
"suelo_salino","agropecuaria","baja","Neutral"
"suelo_salino","antropica","baja","Neutral"
