"Estado dominante","Tendencia","Soporte causal","P(Baja)","P(Media)","P(Alta)"
"alta","No aplica","Fuerte",0.1,0.2,0.7
"alta","No aplica","Moderado",0.15,0.25,0.6
"alta","No aplica","Débil",0.2,0.3,0.5
"media","alta","Fuerte",0.1,0.7,0.2
"media","alta","Moderado",0.15,0.6,0.25
"media","alta","Débil",0.2,0.5,0.3
"media","Neutral","Fuerte",0.15,0.7,0.15
"media","Neutral","Moderado",0.2,0.6,0.2
"media","Neutral","Débil",0.25,0.5,0.25
"media","baja","Fuerte",0.2,0.7,0.1
"media","baja","Moderado",0.25,0.6,0.15
"media","baja","Débil",0.3,0.5,0.2
"baja","No aplica","Fuerte",0.7,0.2,0.1
"baja","No aplica","Moderado",0.6,0.25,0.15
"baja","No aplica","Débil",0.5,0.3,0.2
