"id","cluster_C1","cluster_C2_original","cluster_C2","changed_cluster","silhouette_C1","silhouette_C2"
1,1,1,1,FALSE,0.705592410742706,0.691339000253628
2,2,2,2,FALSE,0.710694010474654,0.660363575611874
3,2,2,2,FALSE,0.663946722328919,0.627451687273175
4,2,2,2,FALSE,0.747363562829909,0.689153723488818
5,2,2,2,FALSE,0.773928098412832,0.728920597984009
6,2,2,2,FALSE,0.633597585358593,0.601913637108157
7,3,3,3,FALSE,0.550058781174292,0.376466031222477
8,2,2,2,FALSE,0.758485689558786,0.705199528930341
9,2,2,2,FALSE,0.762114402957865,0.696180346763164
10,2,2,2,FALSE,0.630036220366368,0.559281476133601
11,2,2,2,FALSE,0.762712799616947,0.706606909609886
12,3,3,3,FALSE,0.520650901906557,0.374711103479299
13,2,2,2,FALSE,0.774158871708856,0.712418961457542
14,2,2,2,FALSE,0.754751901114871,0.674933698524355
15,2,2,2,FALSE,0.741066010578839,0.701976565276398
16,2,2,2,FALSE,0.716270934080138,0.669003880337011
17,3,3,3,FALSE,0.430162163214605,0.284751151018171
18,2,2,2,FALSE,0.763688745681127,0.721699231521251
19,2,2,2,FALSE,0.683019106053758,0.640614571113957
20,3,3,3,FALSE,0.523978804574001,0.379419077849832
21,3,3,3,FALSE,0.483404236515347,0.278832706411864
22,3,3,3,FALSE,0.578249919367775,0.367070361611177
23,2,2,2,FALSE,0.753157719986608,0.699247753812127
24,3,3,3,FALSE,0.55712579902176,0.403835624909688
25,2,2,2,FALSE,0.673295405747422,0.565810222483484
26,3,4,4,TRUE,0.163436000698397,0.0204711490414941
27,2,2,2,FALSE,0.755782811275322,0.670440863522168
28,4,4,4,FALSE,0.697051422279387,0.545728283157277
29,3,3,3,FALSE,0.509874759311686,0.390001059024869
30,2,2,2,FALSE,0.777271228054437,0.728536537715429
31,2,2,2,FALSE,0.762693244950886,0.638640099493624
32,2,2,2,FALSE,0.671973017570392,0.634066367322271
33,2,2,2,FALSE,0.649640485043323,0.607133606514886
34,5,5,5,FALSE,0.653373744888051,0.569771787762129
35,5,5,5,FALSE,0.787883944276363,0.670183838809529
36,5,5,5,FALSE,0.772357585013404,0.657906767069385
