"id","cluster_C1","cluster_C2_original","cluster_C2","silhouette_C1","silhouette_C2","USyV","Suelos","Grad_Pend","P_sum","Esc_sum","Agua_D","Agua_D_log"
47,2,4,4,-0.108796233153263,-0.0633745241987319,"Sec Bosque Tropical","Cambisol","6°-15°",2243488.62036133,299923.868537903,5211679.61,15.4664129356101
142,2,4,4,-0.0398200877706672,-0.0489146187295077,"Sec Bosque Tropical","Luvisol","6°-15°",1759239.13806152,557069.45803833,14132454.14,16.4639844932828
177,2,4,4,-0.0260990552965837,-0.034062202398837,"Sec Bosque Tropical","Luvisol","6°-15°",2296028.69067383,714870.276672363,36236147.3,17.405567750378
504,2,4,4,-0.024981663005187,-0.0481097529338964,"Sec Bosque Tropical","Luvisol","6°-15°",2318675.74047852,652852.899841309,10043203.91,16.1224068354333
26,3,4,4,0.163436000698397,0.0204711490414941,"Bosque Tropical","Phaeozem","6°-15°",136033.10333252,0,366124850.77,19.7184849582504
94,3,4,4,0.161105941987804,0.0200752230108671,"Bosque Tropical","Phaeozem","6°-15°",493926.096923828,13038.9886341095,329357855.92,19.6126554286037
95,3,4,4,0.138530581905122,0.020176451924857,"Bosque Tropical","Phaeozem","6°-15°",1604606.37420654,67224.1708431244,329593242.68,19.6133698572458
308,3,7,7,0.0156150124350141,0.132721358432161,"Bosque Tropical","Cambisol","15°-35°",619283.537414551,5540.31120154262,367272406.43,19.7216143852618
819,3,7,7,0.137567112917212,0.0877715471778931,"Bosque Tropical","Cambisol","6°-15°",NA,0,1091698.69,13.9032463883075
749,4,11,11,-0.103620764634452,0.0386018814618181,"Sec Bosque Tropical","Luvisol","6°-15°",1187449.89416504,360451.257171631,3387983.09,15.0357456387572
220,5,11,11,-0.00867195536649587,-0.0744356907821642,"Pastizal","Leptosol","6°-15°",1260126.74206543,370706.705932617,5487066.81,15.5179045742662
668,5,11,11,-0.0252797384840649,-0.116333783641707,"Pastizal","Leptosol","6°-15°",2284809.01916504,595914.180419922,48264238.43,17.6922014599308
180,7,4,4,0.137530313481506,-0.078783761605162,"Sec Bosque Tropical","Cambisol","6°-15°",710031.724121094,230108.99609375,5108925.06,15.4464997757087
446,7,4,4,0.129243130135795,-0.0856639459980247,"Sec Bosque Tropical","Cambisol","6°-15°",1097955.55725098,210257.382659912,3989307.49,15.1991284630691
490,7,4,4,0.135595644046402,-0.0839838616427576,"Sec Bosque Tropical","Cambisol","6°-15°",701870.601074219,128928.819442749,4250469.97,15.2625403512315
328,9,6,6,0.177201442343714,0.00901319899408367,"Manglar","Solonchank","<1°",NA,0,0,0
332,9,6,6,0.177051495543064,0.007138981982955,"Manglar","Solonchank","1°-3°",NA,0,0,0
480,9,6,6,0.177051495543064,0.0584564568971877,"Manglar","Solonchank","1°-3°",NA,0,76554.09,11.2457658913639
610,9,6,6,0.199278173926067,0.0312766551002956,"Manglar","Solonchank","1°-3°",366768.398986816,0,76554.09,11.2457658913639
147,11,4,4,0.0388705112179647,-0.0504150710760684,"Sec Bosque Tropical","Luvisol","6°-15°",1086514.33850098,339568.173126221,16248335.23,16.6035010756521
733,11,4,4,0.0389349012344204,-0.0291825290467508,"Sec Bosque Tropical","Luvisol","6°-15°",457996.557006836,148401.136199951,14973550.87,16.5217959941178
515,11,5,5,-0.111459562987913,0.0204989432384225,"Pastizal","Leptosol","6°-15°",489590.875366211,141280.682281494,7697847.34,15.8564514114107
662,11,5,5,-0.111703093896113,0.0301214927446758,"Pastizal","Leptosol","6°-15°",394021.388549805,102833.075317383,1570931.85,14.2671801728487
