"cluster","n","USyV_mode","soil_mode","slope_mode","n_P_sum_available","P_sum_median","Esc_sum_median","silhouette_median"
1,31,"Bosque de Encino","Regosol","15°-35°",31,1901724.49865723,455751.283996582,0.711170825476391
2,265,"Sec Bosque Tropical","Regosol","6°-15°",265,1696731.5513916,318371.411087036,0.697178931413824
3,61,"Bosque Tropical","Regosol","6°-15°",54,979100.401489258,1258.06854605675,0.483555689138699
4,67,"Sec Bosque Tropical","Phaeozem","15°-35°",67,1187449.89416504,330247.411468506,0.698980790571689
5,165,"Pastizal","Regosol","6°-15°",165,1260126.74206543,301908.615112305,0.717086748348586
6,30,"Pastizal","Cambisol","1°-3°",29,1560335.54931641,513948.217712402,0.270966145654232
7,47,"Bosque de Encino","Cambisol","6°-15°",46,1023709.12548828,244285.077362061,0.685481139468638
8,77,"Pastizal","Phaeozem","1°-3°",77,1123797.79516602,327871.549316406,0.71641994048838
9,29,"Agricultura","Phaeozem","1°-3°",25,906738.136962891,0,0.27793315358091
10,48,"Sec Bosque Templado","Regosol","15°-35°",48,2411992.90289307,655701.782094727,0.326188301509382
11,36,"Pastizal","Luvisol","6°-15°",36,1061816.02178955,340300.24671936,0.512550242144716
12,43,"Sec Bosque Tropical","Leptosol","15°-35°",43,1530573.01525879,394905.422607422,0.374864655511672
