"id","cluster_C2","UREH_predicha","funcion","condicion"
1,1,"aporte_conservada","aporte","conservada"
2,2,"transferencia_conservada","transferencia","conservada"
3,2,"aporte_conservada","aporte","conservada"
4,2,"transferencia_conservada","transferencia","conservada"
5,2,"aporte_conservada","aporte","conservada"
6,2,"aporte_conservada","aporte","conservada"
7,3,"aporte_conservada","aporte","conservada"
8,2,"aporte_conservada","aporte","conservada"
9,2,"aporte_conservada","aporte","conservada"
10,2,"aporte_conservada","aporte","conservada"
11,2,"aporte_conservada","aporte","conservada"
12,3,"aporte_conservada","aporte","conservada"
13,2,"aporte_conservada","aporte","conservada"
14,2,"aporte_conservada","aporte","conservada"
15,2,"transferencia_conservada","transferencia","conservada"
16,2,"aporte_conservada","aporte","conservada"
17,3,"aporte_conservada","aporte","conservada"
18,2,"aporte_conservada","aporte","conservada"
19,2,"transferencia_conservada","transferencia","conservada"
20,3,"aporte_conservada","aporte","conservada"
21,3,"transferencia_conservada","transferencia","conservada"
22,3,"transferencia_conservada","transferencia","conservada"
23,2,"aporte_conservada","aporte","conservada"
24,3,"aporte_conservada","aporte","conservada"
25,2,"receptora_conservada","recepcion","conservada"
26,4,"receptora_conservada","recepcion","conservada"
27,2,"aporte_conservada","aporte","conservada"
28,4,"receptora_conservada","recepcion","conservada"
29,3,"aporte_conservada","aporte","conservada"
30,2,"transferencia_conservada","transferencia","conservada"
31,2,"receptora_conservada","recepcion","conservada"
32,2,"transferencia_conservada","transferencia","conservada"
33,2,"transferencia_conservada","transferencia","conservada"
34,5,"receptora_degradada","recepcion","degradada"
35,5,"receptora_degradada","recepcion","degradada"
36,5,"receptora_degradada","recepcion","degradada"
37,2,"aporte_conservada","aporte","conservada"
38,2,"aporte_conservada","aporte","conservada"
39,5,"receptora_degradada","recepcion","degradada"
40,2,"transferencia_conservada","transferencia","conservada"
41,5,"transferencia_degradada","transferencia","degradada"
42,6,"transferencia_conservada","transferencia","conservada"
43,2,"receptora_conservada","recepcion","conservada"
44,2,"aporte_conservada","aporte","conservada"
45,2,"receptora_conservada","recepcion","conservada"
46,5,"transferencia_degradada","transferencia","degradada"
47,4,"transferencia_conservada","transferencia","conservada"
48,5,"receptora_degradada","recepcion","degradada"
49,6,"aporte_degradada","aporte","degradada"
50,2,"transferencia_conservada","transferencia","conservada"
51,2,"aporte_conservada","aporte","conservada"
52,2,"receptora_conservada","recepcion","conservada"
53,5,"aporte_degradada","aporte","degradada"
54,2,"transferencia_conservada","transferencia","conservada"
55,5,"transferencia_degradada","transferencia","degradada"
56,2,"transferencia_conservada","transferencia","conservada"
57,5,"transferencia_degradada","transferencia","degradada"
58,7,"aporte_conservada","aporte","conservada"
59,2,"aporte_conservada","aporte","conservada"
