"cluster_C2","UREH_predicha","n"
1,"aporte_conservada",23
1,"aporte_degradada",0
1,"transferencia_conservada",8
1,"transferencia_degradada",0
1,"receptora_conservada",0
1,"receptora_degradada",0
2,"aporte_conservada",132
2,"aporte_degradada",0
2,"transferencia_conservada",94
2,"transferencia_degradada",0
2,"receptora_conservada",35
2,"receptora_degradada",0
3,"aporte_conservada",45
3,"aporte_degradada",0
3,"transferencia_conservada",2
3,"transferencia_degradada",0
3,"receptora_conservada",9
3,"receptora_degradada",0
4,"aporte_conservada",23
4,"aporte_degradada",0
4,"transferencia_conservada",36
4,"transferencia_degradada",0
4,"receptora_conservada",19
4,"receptora_degradada",0
5,"aporte_conservada",0
5,"aporte_degradada",74
5,"transferencia_conservada",0
5,"transferencia_degradada",62
5,"receptora_conservada",0
5,"receptora_degradada",29
6,"aporte_conservada",5
6,"aporte_degradada",5
6,"transferencia_conservada",1
6,"transferencia_degradada",20
6,"receptora_conservada",0
6,"receptora_degradada",3
7,"aporte_conservada",32
7,"aporte_degradada",1
7,"transferencia_conservada",12
7,"transferencia_degradada",0
7,"receptora_conservada",1
7,"receptora_degradada",0
8,"aporte_conservada",0
8,"aporte_degradada",27
8,"transferencia_conservada",0
8,"transferencia_degradada",26
8,"receptora_conservada",0
8,"receptora_degradada",24
9,"aporte_conservada",1
9,"aporte_degradada",4
9,"transferencia_conservada",0
9,"transferencia_degradada",4
9,"receptora_conservada",1
9,"receptora_degradada",15
10,"aporte_conservada",32
10,"aporte_degradada",0
10,"transferencia_conservada",16
10,"transferencia_degradada",0
10,"receptora_conservada",0
10,"receptora_degradada",0
11,"aporte_conservada",0
11,"aporte_degradada",12
11,"transferencia_conservada",5
11,"transferencia_degradada",16
11,"receptora_conservada",0
11,"receptora_degradada",2
12,"aporte_conservada",15
12,"aporte_degradada",5
12,"transferencia_conservada",6
12,"transferencia_degradada",2
12,"receptora_conservada",12
12,"receptora_degradada",3
