"cluster_C2","UREH_predicha","n","n_cluster","percentage"
1,"aporte_conservada",23,31,74.1935483870968
1,"aporte_degradada",0,31,0
1,"transferencia_conservada",8,31,25.8064516129032
1,"transferencia_degradada",0,31,0
1,"receptora_conservada",0,31,0
1,"receptora_degradada",0,31,0
2,"aporte_conservada",132,261,50.5747126436782
2,"aporte_degradada",0,261,0
2,"transferencia_conservada",94,261,36.0153256704981
2,"transferencia_degradada",0,261,0
2,"receptora_conservada",35,261,13.4099616858238
2,"receptora_degradada",0,261,0
3,"aporte_conservada",45,56,80.3571428571429
3,"aporte_degradada",0,56,0
3,"transferencia_conservada",2,56,3.57142857142857
3,"transferencia_degradada",0,56,0
3,"receptora_conservada",9,56,16.0714285714286
3,"receptora_degradada",0,56,0
4,"aporte_conservada",23,78,29.4871794871795
4,"aporte_degradada",0,78,0
4,"transferencia_conservada",36,78,46.1538461538462
4,"transferencia_degradada",0,78,0
4,"receptora_conservada",19,78,24.3589743589744
4,"receptora_degradada",0,78,0
5,"aporte_conservada",0,165,0
5,"aporte_degradada",74,165,44.8484848484849
5,"transferencia_conservada",0,165,0
5,"transferencia_degradada",62,165,37.5757575757576
5,"receptora_conservada",0,165,0
5,"receptora_degradada",29,165,17.5757575757576
6,"aporte_conservada",5,34,14.7058823529412
6,"aporte_degradada",5,34,14.7058823529412
6,"transferencia_conservada",1,34,2.94117647058824
6,"transferencia_degradada",20,34,58.8235294117647
6,"receptora_conservada",0,34,0
6,"receptora_degradada",3,34,8.82352941176471
7,"aporte_conservada",32,46,69.5652173913043
7,"aporte_degradada",1,46,2.17391304347826
7,"transferencia_conservada",12,46,26.0869565217391
7,"transferencia_degradada",0,46,0
7,"receptora_conservada",1,46,2.17391304347826
7,"receptora_degradada",0,46,0
8,"aporte_conservada",0,77,0
8,"aporte_degradada",27,77,35.0649350649351
8,"transferencia_conservada",0,77,0
8,"transferencia_degradada",26,77,33.7662337662338
8,"receptora_conservada",0,77,0
8,"receptora_degradada",24,77,31.1688311688312
9,"aporte_conservada",1,25,4
9,"aporte_degradada",4,25,16
9,"transferencia_conservada",0,25,0
9,"transferencia_degradada",4,25,16
9,"receptora_conservada",1,25,4
9,"receptora_degradada",15,25,60
10,"aporte_conservada",32,48,66.6666666666667
10,"aporte_degradada",0,48,0
10,"transferencia_conservada",16,48,33.3333333333333
10,"transferencia_degradada",0,48,0
10,"receptora_conservada",0,48,0
10,"receptora_degradada",0,48,0
11,"aporte_conservada",0,35,0
11,"aporte_degradada",12,35,34.2857142857143
11,"transferencia_conservada",5,35,14.2857142857143
11,"transferencia_degradada",16,35,45.7142857142857
11,"receptora_conservada",0,35,0
11,"receptora_degradada",2,35,5.71428571428571
12,"aporte_conservada",15,43,34.8837209302326
12,"aporte_degradada",5,43,11.6279069767442
12,"transferencia_conservada",6,43,13.953488372093
12,"transferencia_degradada",2,43,4.65116279069767
12,"receptora_conservada",12,43,27.906976744186
12,"receptora_degradada",3,43,6.97674418604651
