"cluster_C2","n_cluster","most_frequent_UREH","percentage_most_frequent_UREH","most_frequent_function","percentage_most_frequent_function","most_frequent_condition","percentage_most_frequent_condition","n_UREH_present","n_functions_present","n_conditions_present"
1,31,"aporte_conservada",74.1935483870968,"aporte",74.1935483870968,"conservada",100,2,2,1
2,261,"aporte_conservada",50.5747126436782,"aporte",50.5747126436782,"conservada",100,3,3,1
3,56,"aporte_conservada",80.3571428571429,"aporte",80.3571428571429,"conservada",100,3,3,1
4,78,"transferencia_conservada",46.1538461538462,"transferencia",46.1538461538462,"conservada",100,3,3,1
5,165,"aporte_degradada",44.8484848484849,"aporte",44.8484848484849,"degradada",100,3,3,1
6,34,"transferencia_degradada",58.8235294117647,"transferencia",61.7647058823529,"degradada",82.3529411764706,5,3,2
7,46,"aporte_conservada",69.5652173913043,"aporte",71.7391304347826,"conservada",97.8260869565217,4,3,2
8,77,"aporte_degradada",35.0649350649351,"aporte",35.0649350649351,"degradada",100,3,3,1
9,25,"receptora_degradada",60,"recepcion",64,"degradada",92,5,3,2
10,48,"aporte_conservada",66.6666666666667,"aporte",66.6666666666667,"conservada",100,2,2,1
11,35,"transferencia_degradada",45.7142857142857,"transferencia",60,"degradada",85.7142857142857,4,3,2
12,43,"aporte_conservada",34.8837209302326,"aporte",46.5116279069767,"conservada",76.7441860465116,6,3,2
