"cluster_C2","condicion","n","n_cluster","percentage"
1,"conservada",31,31,100
1,"degradada",0,31,0
2,"conservada",261,261,100
2,"degradada",0,261,0
3,"conservada",56,56,100
3,"degradada",0,56,0
4,"conservada",78,78,100
4,"degradada",0,78,0
5,"conservada",0,165,0
5,"degradada",165,165,100
6,"conservada",6,34,17.6470588235294
6,"degradada",28,34,82.3529411764706
7,"conservada",45,46,97.8260869565217
7,"degradada",1,46,2.17391304347826
8,"conservada",0,77,0
8,"degradada",77,77,100
9,"conservada",2,25,8
9,"degradada",23,25,92
10,"conservada",48,48,100
10,"degradada",0,48,0
11,"conservada",5,35,14.2857142857143
11,"degradada",30,35,85.7142857142857
12,"conservada",33,43,76.7441860465116
12,"degradada",10,43,23.2558139534884
