"cluster_C2","funcion","n"
1,"aporte",23
1,"transferencia",8
1,"recepcion",0
2,"aporte",132
2,"transferencia",94
2,"recepcion",35
3,"aporte",45
3,"transferencia",2
3,"recepcion",9
4,"aporte",23
4,"transferencia",36
4,"recepcion",19
5,"aporte",74
5,"transferencia",62
5,"recepcion",29
6,"aporte",10
6,"transferencia",21
6,"recepcion",3
7,"aporte",33
7,"transferencia",12
7,"recepcion",1
8,"aporte",27
8,"transferencia",26
8,"recepcion",24
9,"aporte",5
9,"transferencia",4
9,"recepcion",16
10,"aporte",32
10,"transferencia",16
10,"recepcion",0
11,"aporte",12
11,"transferencia",21
11,"recepcion",2
12,"aporte",20
12,"transferencia",8
12,"recepcion",15
