"cluster_C2","funcion","n","n_cluster","percentage"
1,"aporte",23,31,74.1935483870968
1,"transferencia",8,31,25.8064516129032
1,"recepcion",0,31,0
2,"aporte",132,261,50.5747126436782
2,"transferencia",94,261,36.0153256704981
2,"recepcion",35,261,13.4099616858238
3,"aporte",45,56,80.3571428571429
3,"transferencia",2,56,3.57142857142857
3,"recepcion",9,56,16.0714285714286
4,"aporte",23,78,29.4871794871795
4,"transferencia",36,78,46.1538461538462
4,"recepcion",19,78,24.3589743589744
5,"aporte",74,165,44.8484848484849
5,"transferencia",62,165,37.5757575757576
5,"recepcion",29,165,17.5757575757576
6,"aporte",10,34,29.4117647058824
6,"transferencia",21,34,61.7647058823529
6,"recepcion",3,34,8.82352941176471
7,"aporte",33,46,71.7391304347826
7,"transferencia",12,46,26.0869565217391
7,"recepcion",1,46,2.17391304347826
8,"aporte",27,77,35.0649350649351
8,"transferencia",26,77,33.7662337662338
8,"recepcion",24,77,31.1688311688312
9,"aporte",5,25,20
9,"transferencia",4,25,16
9,"recepcion",16,25,64
10,"aporte",32,48,66.6666666666667
10,"transferencia",16,48,33.3333333333333
10,"recepcion",0,48,0
11,"aporte",12,35,34.2857142857143
11,"transferencia",21,35,60
11,"recepcion",2,35,5.71428571428571
12,"aporte",20,43,46.5116279069767
12,"transferencia",8,43,18.6046511627907
12,"recepcion",15,43,34.8837209302326
