"cluster","n","USyV_mode","soil_mode","slope_mode","n_P_sum_available","P_sum_median","Esc_sum_median","Agua_D_median","Agua_D_log_median","silhouette_median"
1,31,"Bosque de Encino","Regosol","15°-35°",31,1901724.49865723,455751.283996582,931624.56,13.744686253284,0.701443341689084
2,261,"Sec Bosque Tropical","Regosol","6°-15°",261,1671976.54516602,313406.434936523,1303648.74,14.0806783810937,0.641318050345365
3,56,"Bosque Tropical","Regosol","6°-15°",50,1035313.09011841,638.254618122709,76554.09,11.2457658913639,0.356829923473236
4,78,"Sec Bosque Tropical","Phaeozem","6°-15°",78,1173701.27923584,310961.58152771,6386382.86,15.6684943490849,0.535752325515244
5,165,"Pastizal","Regosol","6°-15°",165,1240687.85925293,287897.642105103,1628830.35,14.3033733524517,0.651894841624504
6,34,"Pastizal","Cambisol","1°-3°",30,1546778.30535889,427271.378067016,3572196.81,15.0867773915841,0.0990292244429014
7,46,"Bosque de Encino","Cambisol","6°-15°",44,1023709.12548828,248008.101516724,630207.325,13.3520831637005,0.640823439649646
8,77,"Pastizal","Phaeozem","1°-3°",77,1123797.79516602,327871.549316406,2902565.55,14.8811059208012,0.654335516617484
9,25,"Agricultura","Phaeozem","1°-3°",24,910070.079711915,634.020778656006,39384630.27,17.488886228882,0.376642235636658
10,48,"Sec Bosque Templado","Regosol","15°-35°",48,2411992.90289307,655701.782094727,1053552.515,13.8676700665196,0.363327518378969
11,35,"Pastizal","Luvisol","6°-15°",35,1113726.47937012,359421.736694336,2137897.43,14.5753338624227,0.508769305219597
12,43,"Sec Bosque Tropical","Leptosol","15°-35°",43,1530573.01525879,394905.422607422,3499817.43,15.0682216479711,0.343018140875713
