"escenario","k","silhouette_media","silhouette_mediana","proporcion_silhouette_negativa","cluster_min_n","cluster_mediana_n","cluster_max_n","incremento_silhouette"
"C1",2,0.299166425420024,0.343553426852251,0.0734149054505006,395,449.5,504,NA
"C1",3,0.306188663846687,0.368571202137163,0.0489432703003337,170,264,465,0.00702223842666322
"C1",4,0.367483954743482,0.439017572669636,0.0634037819799778,91,199,410,0.0612952908967941
"C1",5,0.391151441175901,0.463111948715631,0.0478309232480534,81,121,328,0.0236674864324195
"C1",6,0.435869857436888,0.5370946804949,0.0400444938820912,63,115.5,312,0.0447184162609868
"C1",7,0.46841200840928,0.561373359612948,0.0300333704115684,62,95,291,0.0325421509723925
"C1",8,0.483804401841462,0.570035911012384,0.0433815350389321,43,80,283,0.0153923934321819
"C1",9,0.50761925856478,0.5671792318053,0.0344827586206897,31,62,276,0.023814856723318
"C1",10,0.535633414757424,0.630508917658371,0.050055617352614,36,58.5,275,0.0280141561926439
"C1",11,0.56503500073154,0.651121187960226,0.0289210233592881,31,49,266,0.0294015859741155
"C1",12,0.583695914297445,0.667667276091373,0.0333704115684093,29,47.5,265,0.0186609135659056
"C1",13,0.503757357554208,0.512453022698006,0.0311457174638487,29,48,196,-0.0799385567432371
"C1",14,0.483483885467021,0.492779590254967,0.0266963292547275,29,44,196,-0.020273472087187
"C1",15,0.505935889480411,0.524527868128153,0.0155728587319244,17,40,192,0.0224520040133897
"C1",16,0.517346260418532,0.547006892433236,0.017797552836485,17,39,192,0.0114103709381211
"C1",17,0.534304458237854,0.578000690702248,0.0200222469410456,16,31,192,0.0169581978193218
"C1",18,0.545422138394734,0.590460098023478,0.0166852057842047,7,30.5,192,0.0111176801568805
"C1",19,0.560340261459886,0.607627282964756,0.014460511679644,7,31,163,0.0149181230651523
"C1",20,0.576119880291737,0.619534573282083,0.0211345939933259,7,30.5,163,0.0157796188318503
"C2",2,0.284178958733387,0.339210787425972,0.0634037819799778,375,449.5,524,NA
"C2",3,0.271303371662666,0.319532094691736,0.10567296996663,166,249,484,-0.012875587070721
"C2",4,0.347696628296354,0.41575502943087,0.0389321468298109,91,207,394,0.0763932566336882
"C2",5,0.358230112489351,0.418238861672917,0.050055617352614,86,123,324,0.0105334841929972
"C2",6,0.396272306373064,0.486338649855382,0.0378197997775306,60,112.5,315,0.0380421938837124
"C2",7,0.426826382028272,0.495651023327042,0.0311457174638487,59,95,287,0.0305540756552076
"C2",8,0.439094276383716,0.511437183422034,0.0456062291434928,44,82,281,0.0122678943554449
"C2",9,0.458151978498672,0.50446579809101,0.03559510567297,31,64,273,0.0190577021149553
"C2",10,0.483583148565579,0.55969600269426,0.0556173526140156,31,56.5,275,0.025431170066907
"C2",11,0.50717242501381,0.561822951926869,0.0411568409343715,31,51,261,0.0235892764482308
"C2",12,0.525093531100211,0.598103928450999,0.0389321468298109,25,47,261,0.0179211060864016
"C2",13,0.444950201531093,0.441269780682593,0.0367074527252503,25,48,192,-0.0801433295691182
"C2",14,0.458096418431496,0.447173223862588,0.0367074527252503,17,43.5,192,0.0131462169004027
"C2",15,0.439494426020179,0.438107599946312,0.0378197997775306,17,42,192,-0.0186019924113168
"C2",16,0.450672280948118,0.45567708411514,0.0289210233592881,17,40.5,191,0.0111778549279393
"C2",17,0.460186502598782,0.479734465919142,0.0289210233592881,17,36,191,0.00951422165066412
"C2",18,0.476498394059235,0.500841209358982,0.0244716351501669,15,32,191,0.0163118914604523
"C2",19,0.486503606088122,0.50741160306062,0.0189098998887653,7,30,191,0.0100052120288877
"C2",20,0.494444023034598,0.505222396481442,0.0166852057842047,7,31.5,163,0.00794041694647607
