"escenario","cluster","n","USyV_mode","soil_mode","slope_mode","n_P_sum_available","P_sum_median","Esc_sum_median","Agua_D_median","Agua_D_log_median","silhouette_median"
"C1",1,31,"Bosque de Encino","Regosol","15°-35°",31,1901724.49865723,455751.283996582,NA,NA,0.711170825476391
"C2",1,31,"Bosque de Encino","Regosol","15°-35°",31,1901724.49865723,455751.283996582,931624.56,13.744686253284,0.701443341689084
"C1",2,265,"Sec Bosque Tropical","Regosol","6°-15°",265,1696731.5513916,318371.411087036,NA,NA,0.697178931413824
"C2",2,261,"Sec Bosque Tropical","Regosol","6°-15°",261,1671976.54516602,313406.434936523,1303648.74,14.0806783810937,0.641318050345365
"C1",3,61,"Bosque Tropical","Regosol","6°-15°",54,979100.401489258,1258.06854605675,NA,NA,0.483555689138699
"C2",3,56,"Bosque Tropical","Regosol","6°-15°",50,1035313.09011841,638.254618122709,76554.09,11.2457658913639,0.356829923473236
"C1",4,67,"Sec Bosque Tropical","Phaeozem","15°-35°",67,1187449.89416504,330247.411468506,NA,NA,0.698980790571689
"C2",4,78,"Sec Bosque Tropical","Phaeozem","6°-15°",78,1173701.27923584,310961.58152771,6386382.86,15.6684943490849,0.535752325515244
"C1",5,165,"Pastizal","Regosol","6°-15°",165,1260126.74206543,301908.615112305,NA,NA,0.717086748348586
"C2",5,165,"Pastizal","Regosol","6°-15°",165,1240687.85925293,287897.642105103,1628830.35,14.3033733524517,0.651894841624504
"C1",6,30,"Pastizal","Cambisol","1°-3°",29,1560335.54931641,513948.217712402,NA,NA,0.270966145654232
"C2",6,34,"Pastizal","Cambisol","1°-3°",30,1546778.30535889,427271.378067016,3572196.81,15.0867773915841,0.0990292244429014
"C1",7,47,"Bosque de Encino","Cambisol","6°-15°",46,1023709.12548828,244285.077362061,NA,NA,0.685481139468638
"C2",7,46,"Bosque de Encino","Cambisol","6°-15°",44,1023709.12548828,248008.101516724,630207.325,13.3520831637005,0.640823439649646
"C1",8,77,"Pastizal","Phaeozem","1°-3°",77,1123797.79516602,327871.549316406,NA,NA,0.71641994048838
"C2",8,77,"Pastizal","Phaeozem","1°-3°",77,1123797.79516602,327871.549316406,2902565.55,14.8811059208012,0.654335516617484
"C1",9,29,"Agricultura","Phaeozem","1°-3°",25,906738.136962891,0,NA,NA,0.27793315358091
"C2",9,25,"Agricultura","Phaeozem","1°-3°",24,910070.079711915,634.020778656006,39384630.27,17.488886228882,0.376642235636658
"C1",10,48,"Sec Bosque Templado","Regosol","15°-35°",48,2411992.90289307,655701.782094727,NA,NA,0.326188301509382
"C2",10,48,"Sec Bosque Templado","Regosol","15°-35°",48,2411992.90289307,655701.782094727,1053552.515,13.8676700665196,0.363327518378969
"C1",11,36,"Pastizal","Luvisol","6°-15°",36,1061816.02178955,340300.24671936,NA,NA,0.512550242144716
"C2",11,35,"Pastizal","Luvisol","6°-15°",35,1113726.47937012,359421.736694336,2137897.43,14.5753338624227,0.508769305219597
"C1",12,43,"Sec Bosque Tropical","Leptosol","15°-35°",43,1530573.01525879,394905.422607422,NA,NA,0.374864655511672
"C2",12,43,"Sec Bosque Tropical","Leptosol","15°-35°",43,1530573.01525879,394905.422607422,3499817.43,15.0682216479711,0.343018140875713
