"id","runoff_network_low","runoff_network_medium","runoff_network_high","runoff_TM_low","runoff_TM_medium","runoff_TM_high","MAP_runoff_network","MAP_runoff_TM","JS_runoff","H_runoff_network","H_runoff_TM","delta_H_runoff","UREH_network_aporte_conservada","UREH_network_aporte_degradada","UREH_network_transferencia_conservada","UREH_network_transferencia_degradada","UREH_network_receptora_conservada","UREH_network_receptora_degradada","UREH_TM_aporte_conservada","UREH_TM_aporte_degradada","UREH_TM_transferencia_conservada","UREH_TM_transferencia_degradada","UREH_TM_receptora_conservada","UREH_TM_receptora_degradada","MAP_UREH_network","MAP_UREH_TM","JS_UREH","H_UREH_network","H_UREH_TM","delta_H_UREH","runoff_MAP_changed","UREH_MAP_changed"
1,0.145,0.245,0.61,0.715475507532229,0.111496354851809,0.173028137615962,"esc_alta","esc_baja",0.510314671384865,0.842982251726283,0.716983537361537,-0.125998714364745,0.45962,0.1493,0.17419,0.06535,0.10619,0.04535,0.391113578845694,0.129151052601675,0.208443210577153,0.0754244736991627,0.140443210577153,0.0554244736991627,"aporte_conservada","aporte_conservada",0.077272640213341,0.838468544093119,0.887014373852601,0.0485458297594826,TRUE,FALSE
2,0.145,0.245,0.61,0.146348589421171,0.726098260033993,0.127553150544836,"esc_alta","esc_media",0.462220566702143,0.842982251726283,0.706627746628921,-0.136354505097361,0.101925,0.062375,0.40918,0.2213,0.128895,0.076325,0.116033285913842,0.0696723892657801,0.409023563627144,0.22121908463473,0.114943150459014,0.0691085260994901,"transferencia_conservada","transferencia_conservada",0.0298736012822843,0.873816318538149,0.875250667248321,0.00143434871017178,TRUE,FALSE
3,0.145,0.245,0.61,0.203251638884401,0.664648482316832,0.132099878798767,"esc_alta","esc_media",0.443173593371234,0.842982251726283,0.78530528393214,-0.0576769677941424,0.39497,0.21395,0.151515,0.088025,0.093515,0.058025,0.363873197915033,0.197865447197431,0.167063401042483,0.0960672764012845,0.109063401042483,0.0660672764012845,"aporte_conservada","aporte_conservada",0.0413026849307691,0.883733523318399,0.911732968665579,0.0279994453471805,TRUE,FALSE
4,0.59,0.255,0.155,0.962828649138713,0.0231187669990934,0.014052583862194,"esc_baja","esc_baja",0.404754508247882,0.863571156866974,0.1670255104958,-0.696545646371175,0.153835,0.089225,0.35756,0.1946,0.128605,0.076175,0.190358567543064,0.108116500453309,0.314311876699909,0.172230281051677,0.135329555757026,0.0796532184950136,"transferencia_conservada","transferencia_conservada",0.0603376093250653,0.920735393412878,0.946105609084125,0.0253702156712471,FALSE,FALSE
5,0.145,0.245,0.61,0.717468617269771,0.109343989530561,0.173187393199667,"esc_alta","esc_baja",0.511661725325758,0.842982251726283,0.713525678819765,-0.129456572906517,0.39497,0.21395,0.151515,0.088025,0.093515,0.058025,0.336431689003934,0.183671563277897,0.180784155498033,0.103164218361052,0.122784155498033,0.0731642183610516,"aporte_conservada","aporte_conservada",0.0771511918577527,0.883733523318399,0.932126200645696,0.0483926773272971,TRUE,FALSE
6,0.59,0.255,0.155,0.962828649138713,0.0231187669990934,0.014052583862194,"esc_baja","esc_baja",0.404754508247882,0.863571156866974,0.1670255104958,-0.696545646371175,0.34277,0.18695,0.177615,0.101525,0.119615,0.071525,0.312970988213962,0.171536718041704,0.192514505893019,0.109231640979148,0.134514505893019,0.0792316409791478,"aporte_conservada","aporte_conservada",0.0387700708866424,0.927769419019908,0.946419676621854,0.0186502576019465,FALSE,FALSE
7,0.175,0.64,0.185,0.792452830188679,0.161006289308176,0.0465408805031446,"esc_media","esc_baja",0.544374692560613,0.821775145200831,0.565395563204837,-0.256379581995994,0.42868,0.1402,0.18966,0.0699,0.12166,0.0499,0.377277987421384,0.125081761006289,0.215361006289308,0.0774591194968553,0.147361006289308,0.0574591194968554,"aporte_conservada","aporte_conservada",0.0574604169767761,0.862684373854597,0.894602776782792,0.0319184029281953,TRUE,FALSE
8,0.145,0.245,0.61,0.12472731372581,0.749447142000327,0.125825544273864,"esc_alta","esc_media",0.471561630120146,0.842982251726283,0.670490685690671,-0.172491566035611,0.39497,0.21395,0.151515,0.088025,0.093515,0.058025,0.368063697371787,0.200032946916442,0.164968151314106,0.0949835265417792,0.106968151314106,0.0649835265417792,"aporte_conservada","aporte_conservada",0.0357870634465593,0.883733523318399,0.908266126298862,0.0245326029804636,TRUE,FALSE
9,0.175,0.64,0.185,0.792452830188679,0.161006289308176,0.0465408805031446,"esc_media","esc_baja",0.544374692560613,0.821775145200831,0.565395563204837,-0.256379581995994,0.36858,0.2003,0.16471,0.09485,0.10671,0.06485,0.324737106918239,0.177622641509434,0.186631446540881,0.106188679245283,0.128631446540881,0.076188679245283,"aporte_conservada","aporte_conservada",0.0572956380288462,0.907832455050351,0.939611265505845,0.0317788104554942,TRUE,FALSE
10,0.59,0.255,0.155,0.962828649138713,0.0231187669990934,0.014052583862194,"esc_baja","esc_baja",0.404754508247882,0.863571156866974,0.1670255104958,-0.696545646371175,0.34277,0.18695,0.177615,0.101525,0.119615,0.071525,0.312970988213962,0.171536718041704,0.192514505893019,0.109231640979148,0.134514505893019,0.0792316409791478,"aporte_conservada","aporte_conservada",0.0387700708866424,0.927769419019908,0.946419676621854,0.0186502576019465,FALSE,FALSE
