"id","USyV","Suelos","Grad_Pend","P_sum","Esc_sum","Agua_D","Agua_D_log","P_cat","Esc_cat","Agua_D_cat","cobertura","suelo","pendiente","precipitacion","escorrentia","aporte","p_inf_baja","p_inf_media","p_inf_alta","p_esc_modelo_baja","p_esc_modelo_media","p_esc_modelo_alta","p_esc_final_baja","p_esc_final_media","p_esc_final_alta","p_func_aporte","p_func_transferencia","p_func_recepcion","aporte_conservada","aporte_degradada","transferencia_conservada","transferencia_degradada","receptora_conservada","receptora_degradada","UREH_predicha","prob_UREH_predicha","UREH_segunda","prob_UREH_segunda","margen_clasificacion","entropia_UREH"
1,"Bosque de Encino","Regosol","6°-15°",2268578.31634521,278925.294158936,338717.52,12.7329247169685,"Alta","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo",0.2,0.7,0.1,0.145,0.245,0.61,0.715475507532229,0.111496354851809,0.173028137615962,0.545755263008373,0.277122368495813,0.177122368495813,0.391113578845694,0.129151052601675,0.208443210577153,0.0754244736991627,0.140443210577153,0.0554244736991627,"aporte_conservada",0.391113578845694,"transferencia_conservada",0.208443210577153,0.182670368268541,0.887014373852601
2,"Sec Bosque Tropical","Regosol","6°-15°",4092205.940979,413981.697758675,7421601.08,15.8199055055842,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_medio",0.2,0.7,0.1,0.145,0.245,0.61,0.146348589421171,0.726098260033993,0.127553150544836,0.165574630885934,0.670730282115766,0.1636950869983,0.116033285913842,0.0696723892657801,0.409023563627144,0.22121908463473,0.114943150459014,0.0691085260994901,"transferencia_conservada",0.409023563627144,"transferencia_degradada",0.22121908463473,0.187804478992414,0.875250667248321
3,"Sec Bosque Tropical","Regosol","3°-6°",2706951.65356445,396294.627174377,396294.63,12.889915752118,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo",0.2,0.7,0.1,0.145,0.245,0.61,0.203251638884401,0.664648482316832,0.132099878798767,0.592884823991436,0.253557588004282,0.153557588004282,0.363873197915033,0.197865447197431,0.167063401042483,0.0960672764012845,0.109063401042483,0.0660672764012845,"aporte_conservada",0.363873197915033,"aporte_degradada",0.197865447197431,0.166007750717602,0.911732968665579
4,"Sec Bosque Tropical","Regosol","6°-15°",922186.728210449,59932.2142925262,8002933.25,15.8953188136463,"Baja","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_medio",0.25,0.6,0.15,0.59,0.255,0.155,0.962828649138713,0.0231187669990934,0.014052583862194,0.293721668177697,0.507434270172258,0.198844061650045,0.190358567543064,0.108116500453309,0.314311876699909,0.172230281051677,0.135329555757026,0.0796532184950136,"transferencia_conservada",0.314311876699909,"aporte_conservada",0.190358567543064,0.123953309156845,0.946105609084125
5,"Sec Bosque Tropical","Regosol","6°-15°",2225870.81646729,278576.94707489,674871.58,13.4222791816649,"Alta","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo",0.2,0.7,0.1,0.145,0.245,0.61,0.717468617269771,0.109343989530561,0.173187393199667,0.54557187759299,0.277214061203505,0.177214061203505,0.336431689003934,0.183671563277897,0.180784155498033,0.103164218361052,0.122784155498033,0.0731642183610516,"aporte_conservada",0.336431689003934,"aporte_degradada",0.183671563277897,0.152760125726037,0.932126200645696
6,"Sec Bosque Tropical","Regosol","3°-6°",436600.036865234,43854.02394104,482008.72,13.0857195588045,"Baja","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo",0.25,0.6,0.15,0.59,0.255,0.155,0.962828649138713,0.0231187669990934,0.014052583862194,0.505122393472348,0.297438803263826,0.197438803263826,0.312970988213962,0.171536718041704,0.192514505893019,0.109231640979148,0.134514505893019,0.0792316409791478,"aporte_conservada",0.312970988213962,"transferencia_conservada",0.192514505893019,0.120456482320943,0.946419676621854
7,"Bosque Tropical","Regosol","6°-15°",1073298.37036133,136303.726791382,521399.96,13.1642746216766,"Media","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo",0.2,0.7,0.1,0.175,0.64,0.185,0.792452830188679,0.161006289308176,0.0465408805031446,0.525408805031446,0.287295597484277,0.187295597484277,0.377277987421384,0.125081761006289,0.215361006289308,0.0774591194968553,0.147361006289308,0.0574591194968554,"aporte_conservada",0.377277987421384,"transferencia_conservada",0.215361006289308,0.161916981132075,0.894602776782792
8,"Sec Bosque Tropical","Regosol","6°-15°",2807930.83642578,421037.319404602,421037.32,12.9504791299,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo",0.2,0.7,0.1,0.145,0.245,0.61,0.12472731372581,0.749447142000327,0.125825544273864,0.600109823054805,0.249945088472597,0.149945088472597,0.368063697371787,0.200032946916442,0.164968151314106,0.0949835265417792,0.106968151314106,0.0649835265417792,"aporte_conservada",0.368063697371787,"aporte_degradada",0.200032946916442,0.168030750455345,0.908266126298862
9,"Sec Bosque Tropical","Regosol","6°-15°",1146969.68591309,154605.357170105,154605.36,11.948637552711,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo",0.2,0.7,0.1,0.175,0.64,0.185,0.792452830188679,0.161006289308176,0.0465408805031446,0.525408805031446,0.287295597484277,0.187295597484277,0.324737106918239,0.177622641509434,0.186631446540881,0.106188679245283,0.128631446540881,0.076188679245283,"aporte_conservada",0.324737106918239,"transferencia_conservada",0.186631446540881,0.138105660377358,0.939611265505845
10,"Sec Bosque Tropical","Regosol","3°-6°",373653.499389648,28717.4929504395,28717.49,10.2652964451783,"Baja","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo",0.25,0.6,0.15,0.59,0.255,0.155,0.962828649138713,0.0231187669990934,0.014052583862194,0.505122393472348,0.297438803263826,0.197438803263826,0.312970988213962,0.171536718041704,0.192514505893019,0.109231640979148,0.134514505893019,0.0792316409791478,"aporte_conservada",0.312970988213962,"transferencia_conservada",0.192514505893019,0.120456482320943,0.946419676621854
11,"Sec Bosque Tropical","Regosol","6°-15°",2703739.38366699,294807.232063293,294807.23,12.5940803561397,"Alta","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo",0.2,0.7,0.1,0.145,0.245,0.61,0.628341706460771,0.205592413991,0.166065879548229,0.553772417308746,0.273113791345627,0.173113791345627,0.341188002039073,0.186131725192624,0.178405998980464,0.101934137403688,0.120405998980464,0.0719341374036881,"aporte_conservada",0.341188002039073,"aporte_degradada",0.186131725192624,0.155056276846449,0.928876635225926
12,"Bosque Tropical","Regosol","3°-6°",319076.258056641,21462.1640281677,524279.98,13.1697830409619,"Baja","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo",0.25,0.6,0.15,0.59,0.255,0.155,0.962828649138713,0.0231187669990934,0.014052583862194,0.505122393472348,0.297438803263826,0.197438803263826,0.363483227561197,0.12102447869447,0.222258386219402,0.0794877606527652,0.154258386219402,0.0594877606527652,"aporte_conservada",0.363483227561197,"transferencia_conservada",0.222258386219402,0.141224841341795,0.901439480212449
13,"Sec Bosque Tropical","Regosol","6°-15°",1956679.44165039,208010.589378357,208010.59,12.2453490782849,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo",0.2,0.7,0.1,0.175,0.64,0.185,0.792452830188679,0.161006289308176,0.0465408805031446,0.525408805031446,0.287295597484277,0.187295597484277,0.324737106918239,0.177622641509434,0.186631446540881,0.106188679245283,0.128631446540881,0.076188679245283,"aporte_conservada",0.324737106918239,"transferencia_conservada",0.186631446540881,0.138105660377358,0.939611265505845
14,"Sec Bosque Tropical","Regosol","6°-15°",1144198.02026367,70712.2665040493,70712.27,11.166388528756,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo",0.2,0.7,0.1,0.175,0.64,0.185,0.792452830188679,0.161006289308176,0.0465408805031446,0.525408805031446,0.287295597484277,0.187295597484277,0.324737106918239,0.177622641509434,0.186631446540881,0.106188679245283,0.128631446540881,0.076188679245283,"aporte_conservada",0.324737106918239,"transferencia_conservada",0.186631446540881,0.138105660377358,0.939611265505845
15,"Sec Bosque Tropical","Regosol","6°-15°",3275233.85925293,203189.773427486,1635799.76,14.3076430038874,"Alta","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_medio",0.2,0.7,0.1,0.145,0.245,0.61,0.753246753246753,0.0707070707070707,0.176046176046176,0.254184704184704,0.549350649350649,0.196464646464646,0.167427128427128,0.0962554112554113,0.338623376623377,0.184805194805195,0.133949494949495,0.0789393939393939,"transferencia_conservada",0.338623376623377,"transferencia_degradada",0.184805194805195,0.153818181818182,0.933700321711608
16,"Sec Bosque Tropical","Regosol","6°-15°",3976692.14709473,301146.667434692,557998.9,13.232114062152,"Alta","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo",0.2,0.7,0.1,0.145,0.245,0.61,0.595488518756199,0.241070672200177,0.163440809043623,0.556795229028742,0.271602385485629,0.171602385485629,0.34294123283667,0.187038568708623,0.177529383581665,0.101480715645689,0.119529383581665,0.0714807156456886,"aporte_conservada",0.34294123283667,"aporte_degradada",0.187038568708623,0.155902664128048,0.927648785140559
17,"Bosque Tropical","Regosol","3°-6°",2988549.7243042,262889.444847107,787169.42,13.5762000477947,"Alta","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo",0.2,0.7,0.1,0.145,0.245,0.61,0.753246753246753,0.0707070707070707,0.176046176046176,0.542279942279942,0.278860028860029,0.178860028860029,0.388750360750361,0.128455988455988,0.20962481962482,0.0757720057720058,0.14162481962482,0.0557720057720058,"aporte_conservada",0.388750360750361,"transferencia_conservada",0.20962481962482,0.179125541125541,0.888362504869524
