"node","state","probability"
"suelo","suelo_infiltracion_alta",0.204671857619577
"suelo","suelo_infiltracion_media",0.162402669632925
"suelo","suelo_infiltracion_baja",0.626251390433815
"suelo","suelo_salino",0.00667408231368187
"cobertura","forestal_conservada",0.147942157953281
"cobertura","forestal_secundaria",0.473859844271413
"cobertura","hidrofila_humedal",0.00667408231368187
"cobertura","agropecuaria",0.370411568409344
"cobertura","antropica",0.00111234705228031
"pendiente","pend_baja",0.133481646273637
"pendiente","pend_media",0.588431590656285
"pendiente","pend_alta",0.278086763070078
"precipitacion","prec_baja",0.343715239154616
"precipitacion","prec_media",0.328142380422692
"precipitacion","prec_alta",0.328142380422692
"aporte","aporte_muy_bajo",0.0333704115684093
"aporte","aporte_bajo",0.451612903225806
"aporte","aporte_medio",0.344827586206897
"aporte","aporte_alto",0.170189098998888
