"id","USyV","Suelos","Grad_Pend","P_sum","Esc_sum","Agua_D","Agua_D_log","P_cat","Esc_cat","Agua_D_cat","cobertura","suelo","pendiente","precipitacion","escorrentia","aporte"
1,"Bosque de Encino","Regosol","6°-15°",2268578.31634521,278925.294158936,338717.52,12.7329247169685,"Alta","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo"
2,"Sec Bosque Tropical","Regosol","6°-15°",4092205.940979,413981.697758675,7421601.08,15.8199055055842,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_medio"
3,"Sec Bosque Tropical","Regosol","3°-6°",2706951.65356445,396294.627174377,396294.63,12.889915752118,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
4,"Sec Bosque Tropical","Regosol","6°-15°",922186.728210449,59932.2142925262,8002933.25,15.8953188136463,"Baja","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_medio"
5,"Sec Bosque Tropical","Regosol","6°-15°",2225870.81646729,278576.94707489,674871.58,13.4222791816649,"Alta","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo"
6,"Sec Bosque Tropical","Regosol","3°-6°",436600.036865234,43854.02394104,482008.72,13.0857195588045,"Baja","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo"
7,"Bosque Tropical","Regosol","6°-15°",1073298.37036133,136303.726791382,521399.96,13.1642746216766,"Media","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
8,"Sec Bosque Tropical","Regosol","6°-15°",2807930.83642578,421037.319404602,421037.32,12.9504791299,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
9,"Sec Bosque Tropical","Regosol","6°-15°",1146969.68591309,154605.357170105,154605.36,11.948637552711,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
10,"Sec Bosque Tropical","Regosol","3°-6°",373653.499389648,28717.4929504395,28717.49,10.2652964451783,"Baja","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo"
11,"Sec Bosque Tropical","Regosol","6°-15°",2703739.38366699,294807.232063293,294807.23,12.5940803561397,"Alta","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo"
12,"Bosque Tropical","Regosol","3°-6°",319076.258056641,21462.1640281677,524279.98,13.1697830409619,"Baja","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo"
13,"Sec Bosque Tropical","Regosol","6°-15°",1956679.44165039,208010.589378357,208010.59,12.2453490782849,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
14,"Sec Bosque Tropical","Regosol","6°-15°",1144198.02026367,70712.2665040493,70712.27,11.166388528756,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
15,"Sec Bosque Tropical","Regosol","6°-15°",3275233.85925293,203189.773427486,1635799.76,14.3076430038874,"Alta","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_medio"
16,"Sec Bosque Tropical","Regosol","6°-15°",3976692.14709473,301146.667434692,557998.9,13.232114062152,"Alta","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo"
17,"Bosque Tropical","Regosol","3°-6°",2988549.7243042,262889.444847107,787169.42,13.5762000477947,"Alta","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo"
18,"Sec Bosque Tropical","Regosol","6°-15°",2376167.4085083,128049.631569862,915219.05,13.7269198071474,"Alta","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo"
19,"Sec Bosque Tropical","Regosol","15°-35°",2076849.65985107,10333.0123278894,2672462.9,14.7985114138387,"Alta","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_alta","esc_baja","aporte_medio"
20,"Bosque Tropical","Regosol","6°-15°",2257313.97039795,152417.655210495,152417.66,11.9343863556843,"Alta","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo"
21,"Bosque Tropical","Regosol","15°-35°",818844.506103516,5628.35333397985,2950055.66,14.8973349349112,"Baja","Baja","Media","forestal_conservada","suelo_infiltracion_baja","pend_alta","prec_baja","esc_baja","aporte_medio"
22,"Bosque Tropical","Regosol","6°-15°",392108.1796875,9.9602233171463,2950065.62,14.8973383111119,"Baja","Baja","Media","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_medio"
23,"Sec Bosque Tropical","Regosol","6°-15°",1317315.77856445,23892.6120757908,271964.41,12.5134301680738,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
24,"Bosque Tropical","Regosol","6°-15°",1700988.34082031,57634.7419436574,210052.4,12.2551170630888,"Media","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
25,"Sec Bosque Tropical","Regosol","15°-35°",948340.600219727,62325.8560886383,363067172.42,19.7100984258532,"Baja","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_baja","esc_baja","aporte_alto"
26,"Bosque Tropical","Phaeozem","6°-15°",136033.10333252,0,366124850.77,19.7184849582504,"Baja","Baja","Alta","forestal_conservada","suelo_infiltracion_alta","pend_media","prec_baja","esc_baja","aporte_alto"
27,"Sec Bosque Tropical","Regosol","6°-15°",1264945.79626465,54009.7125658989,54009.71,10.8969376392143,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
28,"Sec Bosque Tropical","Phaeozem","15°-35°",331417.197753906,247.136214017868,366126701.49,19.7184900131253,"Baja","Baja","Alta","forestal_secundaria","suelo_infiltracion_alta","pend_alta","prec_baja","esc_baja","aporte_alto"
29,"Bosque Tropical","Regosol","6°-15°",3559896.996521,0,76554.09,11.2457658913639,"Alta","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_bajo"
30,"Sec Bosque Tropical","Regosol","6°-15°",1883559.7064209,343476.678894043,3132886.12,14.9574655399204,"Media","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_medio"
31,"Sec Bosque Tropical","Regosol","6°-15°",1090971.72497559,188261.695739746,271010848.27,19.4176694122493,"Media","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_alto"
32,"Sec Bosque Tropical","Regosol","3°-6°",2261713.90405273,426688.848388672,3559574.97,15.0851519861835,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_medio"
33,"Sec Bosque Tropical","Regosol","3°-6°",709722.196289062,149033.658798218,6195995.19,15.6394138656059,"Baja","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_medio"
34,"Pastizal","Regosol","15°-35°",580161.203613281,102322.899353027,310448857.44,19.5535297386545,"Baja","Baja","Alta","agropecuaria","suelo_infiltracion_baja","pend_alta","prec_baja","esc_baja","aporte_alto"
35,"Pastizal","Regosol","6°-15°",1016815.65100098,195648.416595459,272051804.49,19.4215030674851,"Baja","Baja","Alta","agropecuaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_alto"
36,"Pastizal","Regosol","6°-15°",707751.180541992,118217.180099487,297042771.35,19.5093867010443,"Baja","Baja","Alta","agropecuaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_alto"
37,"Sec Bosque Tropical","Regosol","1°-3°",905933.340942383,163232.627609253,163232.63,12.0029377664599,"Baja","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_baja","prec_baja","esc_baja","aporte_bajo"
38,"Sec Bosque Tropical","Regosol","3°-6°",1266319.14172363,229841.582824707,371271.88,12.8246925968296,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
39,"Pastizal","Regosol","6°-15°",825738.07409668,140653.900512695,295651259.29,19.504691142999,"Baja","Baja","Alta","agropecuaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_alto"
40,"Sec Bosque Tropical","Regosol","3°-6°",969233.281738281,184930.229675293,19226121.53,16.7717804607281,"Baja","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_medio"
41,"Pastizal","Regosol","6°-15°",907251.820068359,160458.200790405,19757851.61,16.7990615707956,"Baja","Baja","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_medio"
42,"Sec Bosque Tropical","Cambisol","3°-6°",3793296.90380859,661285.774993896,4911755.74,15.4071422239671,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_media","pend_media","prec_alta","esc_media","aporte_medio"
43,"Sec Bosque Tropical","Regosol","6°-15°",5520444.20349121,917076.077911377,314925508.49,19.5678466910151,"Alta","Media","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_alto"
44,"Sec Bosque Tropical","Regosol","6°-15°",1838648.96777344,306124.840698242,681367.14,13.4318580264384,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
45,"Sec Bosque Tropical","Regosol","6°-15°",2287995.13415527,412701.909454346,294348143.03,19.5002737881019,"Alta","Media","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_alto"
46,"Pastizal","Regosol","6°-15°",1217631.94042969,237403.430526733,21883636.63,16.9012497753558,"Media","Baja","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_medio"
47,"Sec Bosque Tropical","Cambisol","6°-15°",2243488.62036133,299923.868537903,5211679.61,15.4664129356101,"Alta","Baja","Media","forestal_secundaria","suelo_infiltracion_media","pend_media","prec_alta","esc_baja","aporte_medio"
48,"Pastizal","Regosol","6°-15°",3750009.27685547,614805.662750244,295260124.97,19.5033673087111,"Alta","Media","Alta","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_alto"
49,"Pastizal","Cambisol","3°-6°",912058.619995117,139926.771286011,139926.77,11.8488816398831,"Baja","Baja","Baja","agropecuaria","suelo_infiltracion_media","pend_media","prec_baja","esc_baja","aporte_bajo"
50,"Sec Bosque Tropical","Regosol","6°-15°",3191152.53588867,535977.88130188,20293829.49,16.8258274810712,"Alta","Media","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_medio"
51,"Sec Bosque Tropical","Regosol","6°-15°",2137639.02197266,375242.301010132,375242.3,12.8353298945728,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
52,"Sec Bosque Tropical","Regosol","6°-15°",1719346.09875488,297176.278823852,294645319.31,19.5012828869229,"Media","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_alto"
53,"Pastizal","Regosol","6°-15°",2172069.56494141,389113.359161377,1070480.5,13.8836191052185,"Alta","Media","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
54,"Sec Bosque Tropical","Regosol","6°-15°",1998935.28222656,255451.586380005,5467131.2,15.5142647590371,"Alta","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_medio"
55,"Pastizal","Regosol","6°-15°",326703.51940918,53291.1418151855,20836769.84,16.8522298127475,"Baja","Baja","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_medio"
56,"Sec Bosque Tropical","Regosol","6°-15°",2102008.21801758,232769.606082916,6289951.18,15.654464026104,"Alta","Baja","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_medio"
57,"Pastizal","Regosol","3°-6°",878324.415039062,205532.935455322,20234460.98,16.8228977473545,"Baja","Baja","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_medio"
58,"Sec Bosque Tropical","Cambisol","3°-6°",760005.008422852,139725.506118774,139725.51,11.8474422910217,"Baja","Baja","Baja","forestal_secundaria","suelo_infiltracion_media","pend_media","prec_baja","esc_baja","aporte_bajo"
59,"Sec Bosque Tropical","Regosol","6°-15°",2792647.45263672,489649.209564209,489649.21,13.1014465580266,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
60,"Sec Bosque Tropical","Regosol","6°-15°",1038918.45874023,123773.860923767,317236776.98,19.5751589867163,"Baja","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_alto"
61,"Pastizal","Regosol","3°-6°",2673868.91320801,489244.667785645,1559725.17,14.2600208317669,"Alta","Media","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_medio"
62,"Pastizal","Regosol","6°-15°",2796407.44372559,408641.080047607,317113003.12,19.5747687481915,"Alta","Media","Alta","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_alto"
63,"Pastizal","Regosol","6°-15°",4140391.8659668,885954.142944336,885954.14,13.6944215962512,"Alta","Media","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
64,"Pastizal","Regosol","6°-15°",772861.033081055,57383.0619163513,7007619.38,15.7625087406106,"Baja","Baja","Media","agropecuaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_medio"
65,"Sec Bosque Tropical","Regosol","6°-15°",2082107.33837891,302369.151069641,318731634.85,19.5798600397576,"Alta","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_alto"
66,"Pastizal","Regosol","6°-15°",816868.316772461,122114.519775391,440087.09,12.9947301904016,"Baja","Baja","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo"
67,"Pastizal","Regosol","6°-15°",1859564.61804199,313597.676300049,313597.68,12.6558693582659,"Media","Baja","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
68,"Pastizal","Regosol","3°-6°",2400252.5324707,512933.956100464,724171.7,13.4927851788343,"Alta","Media","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
69,"Sec Bosque Tropical","Regosol","6°-15°",2502389.58752441,318371.411087036,320629469.98,19.5857967183691,"Alta","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_alto"
70,"Sec Bosque Tropical","Regosol","6°-15°",1550000.89526367,183044.312011719,183044.31,12.1174889968052,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
71,"Pastizal","Regosol","6°-15°",737581.770019531,128232.284606934,128232.28,11.7616063841637,"Baja","Baja","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_baja","esc_baja","aporte_bajo"
72,"Sec Bosque Tropical","Regosol","6°-15°",1659799.98931885,187527.51581192,187527.52,12.1416862194922,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo"
73,"Pastizal","Regosol","6°-15°",2597601.73083496,596912.359191895,596912.36,13.2995272562149,"Alta","Media","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
74,"Sec Bosque Tropical","Regosol","6°-15°",1724630.2265625,227150.175422668,320856620.16,19.5865049182577,"Media","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_alto"
75,"Sec Bosque Tropical","Regosol","6°-15°",3307435.59368896,145940.927201509,30505484.67,17.2334170834379,"Alta","Baja","Alta","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_baja","aporte_alto"
76,"Pastizal","Regosol","6°-15°",2024091.13037109,416783.654205322,1013696.01,13.8291146117755,"Alta","Media","Baja","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_media","aporte_bajo"
